"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"503",503,1,2,1,0,5,60,0,1
"504",504,0,6,3,1,4,78,0,0
"505",505,0,2,4,1,5,57,1,0
"506",506,0,2,1,1,5,45,0,1
"507",507,1,6,1,1,4,35,0,1
"508",508,1,2,1,1,5,33,0,1
"509",509,1,2,4,0,5,47,1,0
"510",510,0,5,3,1,3,59,0,1
"511",511,1,2,4,1,1,46,0,1
"512",512,0,2,3,1,3,50,0,0
"513",513,1,5,NA,0,5,37,0,1
"514",514,0,2,3,0,4,35,0,1
"515",515,1,4,4,0,5,39,0,1
"516",516,0,2,5,1,4,71,1,0
"517",517,1,6,4,0,5,45,1,0
"518",518,1,3,NA,0,1,38,0,0
"519",519,1,4,NA,0,1,22,0,0
"520",520,0,4,NA,1,4,26,0,0
"521",521,1,3,5,1,5,37,1,0
"522",522,1,4,3,0,3,53,0,0
"523",523,0,3,3,1,4,20,0,0
"524",524,0,5,5,1,5,37,1,0
"525",525,1,2,NA,1,1,21,0,0
"526",526,1,5,2,0,5,25,0,1
"527",527,1,3,2,1,4,21,0,0
"528",528,1,6,1,1,5,31,0,1
"529",529,1,4,1,1,5,28,0,1
"530",530,1,3,5,1,4,38,1,0
"531",531,1,2,5,1,4,61,1,0
"532",532,0,4,3,0,3,42,0,0
"533",533,0,4,1,0,5,31,0,1
"534",534,0,2,3,0,5,44,0,1
"535",535,0,2,NA,1,4,26,0,0
"536",536,0,2,5,1,5,56,0,0
"537",537,1,3,1,0,5,52,0,1
"538",538,0,3,3,0,3,70,0,1
"539",539,0,2,4,0,5,48,1,0
"540",540,0,3,3,0,5,23,0,0
"541",541,1,2,3,1,1,56,0,0
"542",542,0,2,3,0,3,51,0,1
"543",543,0,4,2,1,5,52,0,1
"544",544,1,4,2,0,3,33,0,1
"545",545,0,2,4,1,5,33,1,0
"546",546,0,3,3,1,4,18,1,0
"547",547,1,3,3,1,3,19,0,0
"548",548,1,5,4,1,5,56,0,1
"549",549,1,6,2,1,4,31,0,0
"550",550,1,5,4,1,5,71,0,1
"551",551,1,3,3,1,5,38,0,0
"552",552,1,3,NA,0,5,42,0,0
"553",553,0,3,4,0,2,25,0,0
"554",554,1,5,NA,0,1,26,0,0
"555",555,1,2,3,1,5,68,0,1
"556",556,1,5,3,0,5,39,0,0
"557",557,0,2,4,1,2,22,0,1
"558",558,0,5,4,0,5,60,1,0
"559",559,0,3,3,0,3,42,0,1
"560",560,1,5,1,0,5,53,0,1
"561",561,0,6,2,1,2,23,0,0
"562",562,0,1,3,0,1,33,0,0
"563",563,0,4,2,1,5,32,0,1
"564",564,0,3,3,0,5,53,0,1
"565",565,0,3,4,1,1,27,1,0
"566",566,0,2,3,0,4,37,0,1
"567",567,1,6,3,1,4,31,0,0
"568",568,1,5,3,1,5,43,0,0
"569",569,1,3,3,0,5,20,0,0
"570",570,0,2,4,0,5,32,0,0
"571",571,0,2,3,0,5,56,0,1
"572",572,1,4,5,1,5,42,0,1
"573",573,1,3,4,0,1,44,0,1
"574",574,1,5,2,0,2,24,0,1
"575",575,1,4,5,1,5,34,1,0
"576",576,0,2,1,1,4,21,0,1
"577",577,1,3,3,0,5,50,1,0
"578",578,1,2,3,0,4,66,0,0
"579",579,0,5,3,1,5,28,0,1
"580",580,0,2,2,0,5,47,0,1
"581",581,1,5,2,1,3,27,0,0
"582",582,0,1,NA,0,5,25,0,0
"583",583,1,4,1,0,4,19,0,1
"584",584,0,2,4,0,3,58,0,1
"585",585,1,2,3,1,5,38,0,0
"586",586,0,5,5,1,5,36,1,0
"587",587,1,3,1,1,5,19,0,1
"588",588,0,2,2,0,2,57,0,1
"589",589,1,2,4,1,3,71,0,0
"590",590,1,3,NA,0,5,23,0,0
"591",591,1,3,3,0,5,61,0,1
"592",592,1,3,1,1,5,48,0,1
"593",593,1,5,2,1,2,33,0,1
"594",594,0,2,1,0,5,30,0,1
"595",595,0,1,4,1,2,29,0,1
"596",596,1,1,3,1,3,61,1,0
"597",597,1,3,1,0,2,38,0,1
"598",598,1,2,4,1,2,67,0,1
"599",599,1,2,NA,1,5,37,1,0
"600",600,1,2,2,0,5,69,0,1
"601",601,1,3,4,1,3,38,0,0
"602",602,1,5,2,1,4,40,0,1
"603",603,1,4,3,0,1,35,0,0
"604",604,1,3,2,1,5,19,0,1
"605",605,0,3,3,1,5,55,0,1
"606",606,1,4,NA,0,3,43,0,1
"607",607,1,5,2,1,1,28,0,0
"608",608,1,4,3,1,5,27,0,0
"609",609,0,4,3,0,5,63,1,0
"610",610,0,2,5,1,2,27,1,0
"611",611,0,1,5,0,4,38,1,0
"612",612,0,4,5,1,5,74,1,0
"613",613,1,4,NA,0,5,45,0,0
"614",614,0,6,1,1,4,63,0,1
"615",615,1,4,4,1,5,59,1,0
"616",616,0,6,3,1,4,41,1,0
"617",617,1,4,5,0,5,70,0,0
"618",618,1,5,2,1,5,36,0,1
"619",619,0,5,3,0,5,50,0,1
"620",620,0,6,5,0,5,42,0,1
"621",621,0,2,1,1,5,19,0,1
"622",622,0,2,2,0,4,28,0,1
"623",623,0,5,4,0,4,53,1,0
"624",624,1,5,5,1,5,44,1,0
"625",625,0,1,1,0,5,60,0,1
"626",626,0,6,3,0,5,39,0,0
"627",627,1,3,3,1,4,58,0,0
"628",628,1,5,4,1,4,28,0,0
"629",629,1,5,1,1,5,53,0,1
"630",630,0,4,4,0,5,61,1,0
"631",631,1,2,3,0,5,56,1,0
"632",632,0,2,5,1,5,28,1,0
"633",633,0,5,1,1,5,35,0,1
"634",634,1,6,3,0,5,38,0,1
"635",635,0,2,3,1,4,41,0,1
"636",636,0,2,4,1,4,70,1,0
"637",637,1,3,2,1,5,19,0,1
"638",638,0,2,4,1,5,33,1,0
"639",639,1,2,3,1,4,28,0,1
"640",640,0,2,3,1,5,72,0,1
"641",641,1,6,3,1,4,58,0,1
"642",642,1,5,1,0,5,34,0,0
"643",643,1,5,2,1,4,71,0,1
"644",644,1,4,3,1,5,38,0,1
"645",645,0,3,3,0,5,66,0,1
"646",646,0,1,1,1,5,18,0,1
"647",647,1,3,1,1,5,21,0,1
"648",648,0,4,3,0,5,62,0,0
"649",649,0,5,1,1,5,47,0,1
"650",650,0,1,NA,1,1,44,0,0
"651",651,0,2,NA,0,1,32,0,0
"652",652,1,3,2,0,3,26,0,0
"653",653,0,2,3,1,3,54,1,0
"654",654,1,2,4,1,4,76,1,0
"655",655,1,1,1,1,5,18,0,1
"656",656,1,6,1,0,5,28,0,0
"657",657,0,2,3,0,5,28,0,1
"658",658,0,3,1,0,5,58,0,1
"659",659,0,2,NA,1,3,36,0,0
"660",660,1,6,1,1,5,30,0,1
"661",661,0,3,1,0,5,45,0,1
"662",662,0,2,3,1,2,47,1,0
"663",663,1,6,2,1,5,49,0,1
"664",664,1,3,1,1,5,26,0,1
"665",665,0,3,3,1,4,61,1,0
"666",666,1,2,3,0,4,29,0,0
"667",667,0,2,3,1,3,42,0,0
"668",668,0,4,3,1,5,67,0,0
"669",669,1,1,NA,0,3,32,0,0
"670",670,1,6,2,1,5,36,0,1
"671",671,1,2,1,1,5,40,0,1
"672",672,1,6,2,1,5,27,1,0
"673",673,0,2,4,1,5,44,1,0
"674",674,0,3,2,1,5,59,0,1
"675",675,1,4,3,1,5,29,0,0
"676",676,0,2,4,1,4,72,1,0
"677",677,1,3,4,1,5,29,0,1
"678",678,0,2,NA,1,5,61,0,0
"679",679,1,5,3,0,4,26,0,0
"680",680,0,2,4,1,4,26,1,0
"681",681,1,5,2,0,5,26,0,1
"682",682,1,6,1,1,3,59,0,1
"683",683,1,2,4,1,5,29,1,0
"684",684,0,2,3,1,4,43,0,1
"685",685,0,3,3,0,5,45,1,0
"686",686,1,4,2,0,5,38,0,1
"687",687,1,3,4,0,5,33,0,0
"688",688,1,4,4,0,4,27,0,0
"689",689,1,2,NA,0,3,36,0,0
"690",690,0,4,3,0,4,42,0,0
"691",691,0,2,3,0,1,38,0,0
"692",692,0,2,5,0,5,68,1,0
"693",693,1,3,1,0,5,46,0,1
"694",694,1,2,4,1,5,47,1,0
"695",695,1,2,1,1,5,29,0,1
"696",696,0,2,4,0,1,59,0,1
"697",697,0,2,5,1,5,74,1,0
"698",698,0,2,1,1,5,48,1,0
"699",699,0,1,5,1,5,49,1,0
"700",700,0,2,5,0,5,38,0,0
"701",701,1,4,4,1,5,68,1,0
"702",702,1,1,5,0,3,36,0,0
"703",703,0,2,1,0,5,18,0,1
"704",704,0,6,2,1,5,67,0,0
"705",705,0,2,3,1,5,38,0,1
"706",706,1,1,3,0,5,50,0,1
"707",707,1,5,1,1,5,27,0,1
"708",708,0,3,5,0,5,40,0,0
"709",709,0,5,3,0,4,56,1,0
"710",710,0,2,2,1,3,33,0,1
"711",711,1,4,4,0,4,71,0,0
"712",712,1,2,3,1,5,58,0,1
"713",713,1,3,3,1,5,53,0,1
"714",714,1,2,3,1,5,41,0,0
"715",715,0,6,4,0,5,24,1,0
"716",716,1,5,1,1,5,54,0,1
"717",717,1,5,2,1,5,23,0,0
"718",718,0,1,NA,1,1,37,0,0
"719",719,0,4,5,1,1,31,1,0
"720",720,0,2,3,1,3,44,1,0
"721",721,0,2,4,0,3,58,0,0
"722",722,0,1,4,0,5,35,0,1
"723",723,1,5,NA,1,5,27,0,0
"724",724,0,3,4,1,4,80,1,0
"725",725,1,5,2,0,4,50,0,1
"726",726,1,6,3,0,5,59,0,0
"727",727,0,2,5,1,5,40,1,0
"728",728,1,3,1,1,5,75,0,1
"729",729,1,5,1,1,5,31,0,0
"730",730,1,3,3,0,5,35,0,0
"731",731,0,5,2,1,5,25,0,1
"732",732,0,3,3,1,5,26,0,0
"733",733,0,5,5,1,5,31,1,0
"734",734,0,5,4,1,5,52,0,0
"735",735,1,2,3,1,4,69,1,0
"736",736,1,2,4,1,5,61,1,0
"737",737,0,5,2,0,4,36,0,0
"738",738,0,3,5,1,5,48,1,0
"739",739,1,6,4,1,4,59,1,0
"740",740,1,6,5,1,5,70,1,0
"741",741,0,3,2,1,2,36,0,1
"742",742,0,6,3,0,5,48,0,0
"743",743,1,5,4,1,5,60,1,0
"744",744,1,2,5,1,4,63,1,0
"745",745,1,6,4,1,5,41,1,0
"746",746,1,2,4,0,5,48,0,0
"747",747,1,1,NA,1,5,47,0,1
"748",748,0,3,2,1,5,43,0,0
"749",749,1,4,3,0,5,42,0,1
"750",750,1,4,2,1,4,60,0,0
"751",751,0,2,2,1,1,43,0,1
"752",752,0,4,3,1,3,37,0,1
"753",753,1,6,3,0,4,23,0,0
"754",754,0,2,3,1,3,84,0,0
"755",755,0,6,2,1,5,28,0,1
"756",756,0,3,3,1,4,34,0,0
"757",757,1,5,2,0,3,41,0,1
"758",758,1,2,5,1,5,61,1,0
"759",759,1,2,3,1,4,38,0,1
"760",760,0,4,4,1,4,42,1,0
"761",761,1,3,1,1,5,75,0,1
"762",762,0,2,1,1,5,26,0,1
"763",763,1,2,4,1,4,75,1,0
"764",764,0,4,4,1,5,67,1,0
"765",765,1,2,5,0,1,28,1,0
"766",766,0,1,2,0,3,39,0,1
"767",767,1,2,4,1,5,31,1,0
"768",768,0,2,2,1,4,32,0,0
"769",769,1,2,5,1,5,48,1,0
"770",770,0,2,4,1,3,35,1,0
"771",771,0,3,1,1,5,37,0,1
"772",772,1,3,NA,1,1,46,1,0
"773",773,0,3,NA,1,5,29,1,0
"774",774,0,2,1,1,5,29,0,0
"775",775,1,2,4,1,5,78,0,1
"776",776,1,2,5,0,5,56,1,0
"777",777,0,5,5,0,5,37,1,0
"778",778,0,2,4,0,3,39,1,0
"779",779,1,6,2,0,5,64,0,1
"780",780,0,3,1,1,4,19,0,0
"781",781,1,4,2,1,5,43,0,1
"782",782,0,5,4,0,1,26,1,0
"783",783,1,5,1,0,5,41,0,1
"784",784,0,3,5,0,5,43,0,0
"785",785,1,3,2,0,5,35,0,1
"786",786,0,5,5,0,4,26,1,0
"787",787,1,3,3,0,5,35,0,0
"788",788,1,4,2,1,5,21,0,0
"789",789,0,3,2,0,4,61,1,0
"790",790,1,3,2,1,5,23,0,0
"791",791,0,2,1,0,4,58,0,1
"792",792,1,2,4,0,4,55,0,1
"793",793,0,6,4,1,4,60,0,0
"794",794,1,1,NA,1,3,19,0,0
"795",795,0,6,1,0,4,53,0,0
"796",796,1,6,2,1,4,44,0,1
"797",797,1,3,1,1,5,72,0,1
"798",798,0,5,3,0,5,26,0,0
"799",799,0,2,1,1,5,43,0,1
"800",800,1,1,NA,1,5,19,0,0
"801",801,1,2,NA,1,3,34,0,0
"802",802,1,6,1,1,5,55,0,1
"803",803,1,4,3,0,4,41,0,1
"804",804,1,2,3,1,3,23,0,0
"805",805,0,2,3,1,5,43,0,0
"806",806,1,2,NA,0,1,23,0,0
"807",807,1,5,1,1,4,28,0,1
"808",808,1,5,3,0,5,72,0,0
"809",809,0,5,2,1,3,31,0,0
"810",810,1,4,4,1,5,59,0,0
"811",811,1,3,3,0,1,25,0,0
"812",812,0,5,3,0,5,35,0,0
"813",813,1,1,3,0,5,28,1,0
"814",814,1,2,4,0,4,54,0,0
"815",815,1,3,3,0,4,54,0,1
"816",816,0,3,3,0,5,41,0,1
"817",817,0,6,1,1,5,60,0,1
"818",818,1,3,2,0,3,24,0,1
"819",819,0,4,1,1,5,61,0,1
"820",820,1,2,3,0,5,53,0,0
"821",821,0,2,4,0,4,50,1,0
"822",822,0,2,4,0,4,53,1,0
"823",823,1,2,2,0,5,25,0,1
"824",824,0,2,4,0,4,18,1,0
"825",825,1,1,3,1,4,33,1,0
"826",826,0,6,1,0,5,40,0,1
"827",827,1,4,4,1,1,21,0,1
"828",828,0,4,3,0,5,43,0,0
"829",829,1,2,3,1,1,33,0,1
"830",830,0,5,5,1,3,35,0,0
"831",831,1,3,4,1,5,36,1,0
"832",832,0,2,3,0,5,29,0,0
"833",833,1,6,1,1,4,44,0,1
"834",834,0,3,4,0,5,50,1,0
"835",835,0,5,3,0,3,24,0,0
"836",836,1,2,NA,0,5,34,0,0
"837",837,1,4,2,1,5,47,0,1
"838",838,1,2,2,1,5,48,0,1
"839",839,0,2,1,0,5,31,0,1
"840",840,1,1,NA,0,2,57,0,0
"841",841,1,4,5,0,5,48,1,0
"842",842,0,2,4,1,4,44,1,0
"843",843,1,2,5,0,5,23,0,0
"844",844,1,3,1,0,5,22,0,1
"845",845,0,1,1,0,5,38,0,1
"846",846,1,4,1,0,5,44,0,0
"847",847,0,2,1,1,5,28,0,1
"848",848,1,3,NA,0,5,31,0,0
"849",849,1,2,3,1,3,49,0,1
"850",850,0,6,3,0,4,35,0,0
"851",851,1,2,3,0,5,74,0,0
"852",852,1,6,3,0,5,47,0,1
"853",853,1,2,1,0,5,59,0,1
"854",854,1,5,1,1,5,65,0,1
"855",855,1,2,2,0,4,33,0,1
"856",856,1,5,4,1,5,47,1,0
"857",857,1,4,3,1,5,78,0,1
"858",858,1,2,NA,0,1,36,1,0
"859",859,0,2,3,0,3,29,0,1
"860",860,1,2,4,0,1,36,0,0
"861",861,1,2,3,0,3,63,1,0
"862",862,1,3,5,0,5,59,1,0
"863",863,0,2,2,0,5,41,0,1
"864",864,0,4,3,1,5,49,0,0
"865",865,1,3,3,1,5,70,1,0
"866",866,0,5,5,1,5,72,0,0
"867",867,1,3,2,1,4,21,0,1
"868",868,0,5,1,1,5,30,0,1
"869",869,1,1,5,0,4,77,1,0
"870",870,1,3,3,0,4,27,0,0
"871",871,1,2,3,1,5,72,1,0
"872",872,1,3,3,0,5,28,0,0
"873",873,1,3,3,0,5,43,0,1
"874",874,1,2,5,1,4,66,1,0
"875",875,0,4,3,0,4,49,0,0
"876",876,1,2,1,1,4,71,0,1
"877",877,1,2,4,1,5,62,1,0
"878",878,1,2,5,0,5,71,1,0
"879",879,1,3,4,0,5,76,1,0
"880",880,1,6,2,1,4,59,0,1
"881",881,1,3,3,0,5,47,0,0
"882",882,1,2,4,1,5,47,1,0
"883",883,1,2,1,0,4,50,0,1
"884",884,1,2,3,1,3,35,0,0
"885",885,1,4,3,1,5,71,1,0
"886",886,1,2,5,0,5,75,1,0
"887",887,1,1,4,1,4,84,0,0
"888",888,1,2,NA,0,5,72,1,0
"889",889,1,2,5,1,5,67,1,0
"890",890,0,3,4,0,4,49,0,0
"891",891,1,3,4,0,4,28,1,0
"892",892,1,1,5,1,5,71,1,0
"893",893,1,3,3,0,5,53,0,0
"894",894,1,3,4,1,4,20,1,0
"895",895,1,6,3,0,5,68,0,0
"896",896,1,3,5,1,5,26,1,0
"897",897,1,5,3,0,5,23,0,0
"898",898,1,3,1,0,5,24,0,1
"899",899,1,5,3,1,3,41,0,1
"900",900,1,5,1,0,5,31,0,1
"901",901,1,2,5,1,3,63,1,0
"902",902,1,5,2,0,4,37,0,1
"903",903,1,2,3,1,5,50,0,0
"904",904,0,2,3,0,5,57,0,0
"905",905,1,3,3,1,5,50,1,0
"906",906,1,3,4,1,5,42,1,0
"907",907,1,3,3,0,3,32,0,0
"908",908,1,2,5,1,4,85,1,0
"909",909,0,2,3,1,3,20,1,0
"910",910,1,2,4,1,5,35,1,0
"911",911,0,6,3,0,5,52,0,0
"912",912,0,3,5,0,5,31,1,0
"913",913,1,2,4,0,3,43,1,0
"914",914,1,3,3,0,1,42,1,0
"915",915,0,6,3,1,5,59,1,0
"916",916,1,4,4,0,5,51,1,0
"917",917,1,5,3,1,5,36,0,0
"918",918,0,2,5,1,1,21,0,1
"919",919,0,2,5,1,5,50,0,1
"920",920,1,5,2,1,5,27,0,0
"921",921,0,3,5,1,3,20,1,0
"922",922,1,5,1,1,5,57,0,1
"923",923,0,6,3,0,2,34,0,0
"924",924,0,4,5,0,5,30,1,0
"925",925,0,5,4,0,4,57,1,0
"926",926,0,1,5,1,5,34,1,0
"927",927,0,1,1,0,4,28,0,0
"928",928,0,3,3,1,5,44,0,0
"929",929,0,2,5,0,3,38,1,0
"930",930,1,4,4,0,5,39,0,0
"931",931,1,3,5,0,NA,26,0,0
"932",932,0,6,2,1,4,32,0,1
"933",933,0,3,1,0,5,18,0,1
"934",934,0,2,3,0,1,30,0,0
"935",935,0,3,4,1,5,22,1,0
"936",936,1,5,3,0,2,30,0,0
"937",937,0,2,NA,0,5,18,0,0
"938",938,0,5,4,1,3,31,1,0
"939",939,1,2,NA,0,5,27,0,0
"940",940,1,6,3,0,5,34,0,0
"941",941,1,5,3,1,5,40,0,1
"942",942,1,5,4,1,5,40,1,0
"943",943,1,4,3,0,4,26,0,1
"944",944,1,2,5,0,5,61,0,1
"945",945,1,6,1,1,4,35,0,1
"946",946,0,1,5,0,4,52,0,0
"947",947,0,3,2,0,4,22,0,1
"948",948,0,2,2,0,4,18,0,0
"949",949,1,5,3,0,5,28,0,0
"950",950,1,3,1,1,5,20,0,1
"951",951,0,5,NA,1,5,24,0,1
"952",952,1,5,2,1,5,29,0,1
"953",953,0,5,2,1,5,67,0,1
"954",954,1,2,4,1,4,58,1,0
"955",955,0,5,4,1,5,49,0,0
"956",956,1,5,1,0,5,36,0,1
"957",957,1,4,4,1,3,32,1,0
"958",958,0,3,4,0,5,61,0,0
"959",959,1,5,4,1,5,24,0,0
"960",960,1,2,NA,0,4,27,0,0
"961",961,0,1,5,1,3,34,1,0
"962",962,0,2,3,0,5,29,0,1
"963",963,0,3,3,1,4,57,0,0
"964",964,1,6,2,1,5,55,0,1
"965",965,1,5,3,0,4,24,0,0
"966",966,0,3,4,0,5,45,1,0
"967",967,0,6,2,1,5,42,0,1
"968",968,0,4,3,1,5,44,0,0
"969",969,1,4,2,1,5,38,0,0
"970",970,0,2,1,1,4,33,0,0
"971",971,1,4,5,1,4,29,1,0
"972",972,0,3,5,1,5,24,1,0
"973",973,0,6,3,0,4,29,0,0
"974",974,0,5,2,1,5,70,0,1
"975",975,0,2,3,0,4,67,0,0
"976",976,1,5,3,0,4,26,0,0
"977",977,1,4,4,1,3,25,1,0
"978",978,0,2,2,0,2,33,0,1
"979",979,0,4,3,0,5,43,0,0
"980",980,0,2,2,0,3,18,0,0
"981",981,1,3,NA,1,1,24,0,0
"982",982,1,5,3,0,5,22,0,0
"983",983,1,1,NA,1,4,25,0,0
"984",984,1,3,2,1,5,19,0,1
"985",985,1,2,5,0,5,28,0,1
"986",986,1,3,5,1,3,18,1,0
"987",987,0,3,3,0,4,19,1,0
"988",988,0,2,4,1,5,52,1,0
"989",989,0,5,5,1,5,63,1,0
"990",990,1,2,NA,1,5,26,0,0
"991",991,1,6,2,1,5,41,0,1
"992",992,1,2,5,1,5,26,1,0
"993",993,0,3,2,0,3,20,0,0
"994",994,1,6,3,0,4,27,0,0
"995",995,1,5,4,0,NA,39,1,0
"996",996,1,3,2,0,3,34,1,0
"997",997,1,3,3,1,5,44,1,0
"998",998,0,2,3,1,4,20,1,0
"999",999,0,2,4,0,5,20,0,0
"1000",1000,0,1,NA,1,5,18,0,0
